token,data/hora_envio,idade,genero,cor/raca/etnia,pcd,uf_onde_mora,regiao_onde_mora,uf_de_origem,regiao_de_origem,vive_no_brasil,pais_onde_mora,estado_onde_mora,estado_de_origem,nivel_de_ensino,area_de_formação,situação_de_trabalho,setor,numero_de_funcionarios,atua_como_gestor,cargo_como_gestor,cargo_atual,nivel,tempo_de_experiencia_em_dados,tempo_de_experiencia_em_ti,linguagem_de_programacao_(dia_a_dia),linguagem_mais_usada,linguagem_preferida,banco_de_dados_(dia_a_dia),cloud_(dia_a_dia),cloud_preferida,ferramenta_de_bi_(dia_a_dia)
t38mybv9lx2yz1zt38myqb3y31qrtlhv,11/12/2024 16:42:57,22,Masculino,Preta,Não,BA,Nordeste,,,True,,Bahia (BA),,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Telecomunicação,Acima de 3.000,False,,Analista de Suporte/Analista Técnico,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não utilizo linguagem de programação no trabalho,,,SQL SERVER,Cloud Própria,Não sei opinar / Não tenho preferência,Fazemos todas as análises utilizando apenas Excel ou planilhas do google
7xc00xyn9dulsyj3zcm5b7xc0upimebp,11/12/2024 16:50:12,22,Masculino,Preta,Não,MG,Sudeste,,,True,,Minas Gerais (MG),,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Estagiário,Finanças ou Bancos,Acima de 3.000,False,,Analista de Dados/Data Analyst,Júnior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,SQL,SQL,R,"Databricks, SQL SERVER",Azure (Microsoft),Não sei opinar / Não tenho preferência,"Microsoft PowerBI, Qlik View/Qlik Sense"
l80ws09245ab6f62k6gvl3l80ws098oa,11/12/2024 16:50:45,22,Feminino,Branca,Não,MG,Sudeste,,,True,,Minas Gerais (MG),,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,False,,Cientista de Dados/Data Scientist,Júnior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",Python,Python,"S3, Amazon Athena, Presto, Amazon Redshift",Amazon Web Services (AWS),Amazon Web Services (AWS),Tableau
0qgxfpfv15cg0qdammcjg2pp5qvqa8da,11/12/2024 21:57:21,22,Masculino,Preta,Não,PE,Nordeste,,,True,,Pernambuco (PE),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
ck8pn7rvps9zfzq1ck82rewdiro8gkzr,13/12/2024 01:07:57,22,Masculino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
ko8c24atrln88zvcnc4ko8c2nvm4e86v,16/12/2024 01:25:27,22,Masculino,Branca,Não,SP,Sudeste,PR,Sul,True,,São Paulo (SP),Paraná (PR),Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Área de Consultoria,Acima de 3.000,False,,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Python, Visual Basic/VBA",Python,Python,"PostgreSQL, SQLite, S3",Azure (Microsoft),Amazon Web Services (AWS),"Microsoft PowerBI, Fazemos todas as análises utilizando apenas Excel ou planilhas do google"
wh65tbbynzpmfvvowh6v398wmwhx0awn,16/12/2024 14:13:22,22,Feminino,Branca,Não,SP,Sudeste,MG,Sudeste,True,,São Paulo (SP),Minas Gerais (MG),Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Estagiário,Tecnologia/Fábrica de Software,de 101 a 500,False,,Cientista de Dados/Data Scientist,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Python,Python,Python,Databricks,Amazon Web Services (AWS),Não sei opinar / Não tenho preferência,Não utilizo nenhuma ferramenta de BI no trabalho
3v5jbfy148ahii1zwvh3v5jbf2j8c4op,16/12/2024 17:22:35,22,Masculino,Branca,Não,BA,Nordeste,,,True,,Bahia (BA),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,False,,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Menos de 1 ano,"SQL, Python",SQL,Python,Databricks,"Amazon Web Services (AWS), Databricks",Databricks,Microsoft PowerBI
pd8hom0xpclknlcfehk7ilpd8hom0xx2,16/12/2024 18:34:42,22,Feminino,Branca,Não,PR,Sul,,,True,,Paraná (PR),,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,False,,Outra Opção,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",SQL,Python,SAP HANA,Oracle Cloud,Não sei opinar / Não tenho preferência,Microsoft PowerBI
3f08csmkmapo0d32j3f08ck0y6olxyhd,16/12/2024 19:51:51,22,Feminino,Branca,Não,BA,Nordeste,,,True,,Bahia (BA),,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo / Ciências Sociais,Empregado (CLT),Setor de Energia,de 501 a 1.000,False,,Outra Opção,Júnior,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não utilizo linguagem de programação no trabalho,,,Google BigQuery,Nenhuma,Azure (Microsoft),Microsoft PowerBI
cvfssqe3hgpzn2pw5p4c4cvfssqetrqt,14/10/2024 10:29:10,23,Masculino,Branca,Não,SC,Sul,,,True,,Santa Catarina (SC),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Marketing,de 501 a 1.000,False,,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Python, SQL",SQL,Python,Oracle,Azure (Microsoft),Amazon Web Services (AWS),"Oracle Business Intelligence, Fazemos todas as análises utilizando apenas Excel ou planilhas do google"
rq6mjenta23n9ff9ibsrq6mbzb82reis,14/10/2024 12:10:08,23,Masculino,Branca,Não,RN,Nordeste,,,True,,Rio Grande do Norte (RN),,Estudante de Graduação,Outra opção,Somente Estudante (graduação),,,,,,,,,,,,,,,
4kxxxzlbc72c9axb4kxxmqrdqohspame,14/10/2024 12:51:37,23,Feminino,Parda,Não,SP,Sudeste,AL,Nordeste,True,,São Paulo (SP),Alagoas (AL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Agronegócios,Acima de 3.000,False,,Analista de BI/BI Analyst,Sênior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",SQL,Python,Databricks,Amazon Web Services (AWS),Não sei opinar / Não tenho preferência,"Microsoft PowerBI, Tableau"
lrjhlsdhb58zvypxeh4wa9lrjhlseum5,14/10/2024 12:59:27,23,Masculino,Branca,Não,PE,Nordeste,SP,Sudeste,True,,Pernambuco (PE),São Paulo (SP),Não tenho graduação formal,,Empregado (CLT),Área da Saúde,de 101 a 500,False,,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,de 1 a 2 anos,"SQL, Python, Java, JavaScript",SQL,Python,"Oracle, MySQL, SQLite",Servidores On Premise/Não utilizamos Cloud,Amazon Web Services (AWS),Microsoft PowerBI
x767uykbr069kt7ix767uygcrxyjpfuw,14/10/2024 13:00:08,23,Masculino,Branca,Não,AM,Norte,RJ,Sudeste,True,,Amazonas (AM),Rio de Janeiro (RJ),Não tenho graduação formal,,Empreendedor ou Empregado (CNPJ),Área de Consultoria,de 51 a 100,False,,Analista de Dados/Data Analyst,Sênior,de 1 a 2 anos,de 3 a 4 anos,"SQL, R, Python",Python,Python,SQL SERVER,"Google Cloud (GCP), Azure (Microsoft)",Azure (Microsoft),"Looker Studio (antigo Google Data Studio), Looker, Tableau, Microsoft PowerBI"
afyaudy891ezgoy48yk21afy5l6r9qpe,14/10/2024 13:02:28,23,Masculino,Parda,Não,DF,Centro-oeste,GO,Centro-oeste,True,,Distrito Federal (DF),Goiás (GO),Não tenho graduação formal,,Empreendedor ou Empregado (CNPJ),Marketing,de 101 a 500,False,,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Não utilizo linguagem de programação no trabalho,,,Amazon Athena,Servidores On Premise/Não utilizamos Cloud,Google Cloud (GCP),"Looker Studio (antigo Google Data Studio), Microsoft PowerBI"
nbvwjkplt2n6v6inbv7bf48k5gu8h5kq,14/10/2024 13:05:58,23,Masculino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Área de Consultoria,de 501 a 1.000,False,,Analytics Engineer,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",SQL,Python,"Google BigQuery, Databricks, Snowflake, Amazon Redshift","Amazon Web Services (AWS), Google Cloud (GCP), Azure (Microsoft)",Não sei opinar / Não tenho preferência,"Microsoft PowerBI, Looker, Tableau"
txhijxyv1kchd1gv1rqtxhi4ww8x1slm,14/10/2024 14:03:02,23,Masculino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Educação,de 1.001 a 3.000,False,,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Visual Basic/VBA,Visual Basic/VBA,Python,MySQL,Azure (Microsoft),Não sei opinar / Não tenho preferência,Microsoft PowerBI
2bkrv7bx9dpt03g2bkrv3wmxriaxeyz0,14/10/2024 15:51:50,23,Feminino,Branca,Não,MG,Sudeste,,,True,,Minas Gerais (MG),,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Área de Consultoria,de 11 a 50,True,Supervisor/Coordenador,,,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,,,,,,,
1t1h03k5asl5z7d011t1h03ewndzd9og,14/10/2024 18:43:26,23,Feminino,Branca,Não,MG,Sudeste,,,True,,Minas Gerais (MG),,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Tecnologia/Fábrica de Software,de 501 a 1.000,False,,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",SQL,R,"S3, Snowflake, Amazon Redshift, Databricks, PostgreSQL, SQL SERVER",Amazon Web Services (AWS),Amazon Web Services (AWS),"Microsoft PowerBI, Tableau, Qlik View/Qlik Sense, Amazon Quicksight"
0z7mabv0yitak78ne64oy0z7ma5pbkpm,14/10/2024 20:06:20,23,Masculino,Branca,Não,PR,Sul,,,True,,Paraná (PR),,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Setor Alimentício,de 51 a 100,False,,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Menos de 1 ano,"SQL, Python",SQL,Python,"MySQL, Google BigQuery, S3, Firebird, Firebase, SQL SERVER, PostgreSQL",Google Cloud (GCP),Não sei opinar / Não tenho preferência,"Qlik View/Qlik Sense, Metabase, Microsoft PowerBI, Looker, Looker Studio (antigo Google Data Studio), Tableau"
x02hwrdsq0cliie3v6ux02hwrdyjq8z5,14/10/2024 21:12:03,23,Masculino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Setor de Energia,Acima de 3.000,False,,Analista de Suporte/Analista Técnico,Júnior,Não tenho experiência na área de dados,de 1 a 2 anos,SQL,SQL,Python,SQL SERVER,"Azure (Microsoft), Oracle Cloud, Amazon Web Services (AWS)",Oracle,Microsoft PowerBI
akfegiri5dujj92r9ggakfeg5hsp9444,15/10/2024 14:37:58,23,Outro,Branca,Sim,SP,Sudeste,,,True,,São Paulo (SP),,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Varejo,Acima de 3.000,False,,Cientista de Dados/Data Scientist,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",Python,Python,Google BigQuery,Google Cloud (GCP),Não sei opinar / Não tenho preferência,"Looker Studio (antigo Google Data Studio), Tableau"
3qd33n99j54kkmq43qd33abjd0ko3u5y,15/10/2024 14:43:08,23,Masculino,Branca,Não,PR,Sul,,,True,,Paraná (PR),,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Varejo,Acima de 3.000,False,,Analytics Engineer,Pleno,de 5 a 6 anos,Menos de 1 ano,SQL,SQL,LookML,Google BigQuery,Google Cloud (GCP),Google Cloud (GCP),"Looker, Tableau"
4hbwnhw5zbdg42d9rcv4hbwnhwryqp0o,15/10/2024 15:01:34,23,Masculino,Parda,Não,SP,Sudeste,,,True,,São Paulo (SP),,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Setor Automotivo,Acima de 3.000,False,,Analista de Dados/Data Analyst,Sênior,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python, R, Julia, Visual Basic/VBA",Python,Python,"SQL SERVER, Firebird, Neo4J, HBase, Redis, SAP HANA, MongoDB, Amazon Redshift, DynamoDB, Firebase, Google BigQuery, PostgreSQL, Microsoft Access, MariaDB, Snowflake, Hive","Azure (Microsoft), Huawei",Google Cloud (GCP),"SAP Business Objects/SAP Analytics, Oracle Business Intelligence, Looker, Pentaho, Looker Studio (antigo Google Data Studio), Metabase, Alteryx, Microsoft PowerBI, Salesforce/Einstein Analytics"
1g8m9j63h5oof81g8847fo3rlhbceafd,16/10/2024 00:59:14,23,Masculino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,False,,Analytics Engineer,Sênior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",Python,Python,"SQL SERVER, S3, Hive, PostgreSQL, Amazon Aurora ou RDS, Amazon Athena, Amazon Redshift, Databricks",Amazon Web Services (AWS),Amazon Web Services (AWS),"Alteryx, Tableau, Looker Studio (antigo Google Data Studio), Amazon Quicksight, Fazemos todas as análises utilizando apenas Excel ou planilhas do google"
p3bmyjzf8qvpdzt4dgp3bmyj0say56mb,16/10/2024 11:18:43,23,Masculino,Parda,Não,PR,Sul,,,True,,Paraná (PR),,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Estagiário,Finanças ou Bancos,de 1.001 a 3.000,False,,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",Python,Python,"Amazon Athena, SQL SERVER",Amazon Web Services (AWS),Não sei opinar / Não tenho preferência,Microsoft PowerBI
akudpyj39z61s6akhku86rlab6bpwp9f,16/10/2024 11:33:29,23,Masculino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),,,,,,,,,,,,,,,
5y380x4sk5betrr5y380q7r2qkv7o7c6,16/10/2024 11:35:24,23,Masculino,Parda,Não,MG,Sudeste,,,True,,Minas Gerais (MG),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Finanças ou Bancos,Acima de 3.000,False,,Analista de Dados/Data Analyst,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, R, Python",SQL,Python,"DynamoDB, Amazon Redshift, MongoDB, S3, Presto",Amazon Web Services (AWS),Amazon Web Services (AWS),Tableau
9dqovrkr8w1jxeb77e9dqoxik3bhq40m,16/10/2024 11:40:21,23,Feminino,Branca,Não,ES,Sudeste,,,True,,Espírito Santo (ES),,Graduação/Bacharelado,Outra opção,Empregado (CLT),Área de Consultoria,de 101 a 500,False,,Analista de Dados/Data Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Python, SQL",SQL,Python,Snowflake,Amazon Web Services (AWS),Google Cloud (GCP),Microsoft PowerBI
yhryfqvptxh7eatvbutw7yhryfqv5vns,16/10/2024 11:46:40,23,Feminino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,"Desempregado, buscando recolocação",,,,,,,,,,,,,,,
0kfm6px5mlyi0kfm6j78pm4aa3cjewyt,16/10/2024 11:58:11,23,Masculino,Parda,Não,PI,Nordeste,,,True,,Piauí (PI),,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Estagiário,Agronegócios,de 6 a 10,False,,Analista de Dados/Data Analyst,Júnior,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,SQL,SQL,Python,PostgreSQL,Amazon Web Services (AWS),Não sei opinar / Não tenho preferência,Microsoft PowerBI
mab6kafif5ui8vomab6wfa768d10isg1,16/10/2024 12:25:25,23,Masculino,Branca,Sim,SC,Sul,,,True,,Santa Catarina (SC),,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empreendedor ou Empregado (CNPJ),Setor Público,Acima de 3.000,False,,Cientista de Dados/Data Scientist,Sênior,de 5 a 6 anos,Menos de 1 ano,"SQL, R, Python, Visual Basic/VBA, JavaScript",Python,Python,"S3, MySQL, SQLite, Databricks","Amazon Web Services (AWS), Azure (Microsoft)",Não sei opinar / Não tenho preferência,Microsoft PowerBI
qsemt7tt5dwto793pjqsem7i4tdr5shv,16/10/2024 12:27:10,23,Masculino,Branca,Não,RJ,Sudeste,,,True,,Rio de Janeiro (RJ),,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor de Energia,de 1.001 a 3.000,False,,Analista de Dados/Data Analyst,Júnior,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",Python,Python,"Amazon Athena, DynamoDB, SQL SERVER, MongoDB",Amazon Web Services (AWS),Não sei opinar / Não tenho preferência,"Microsoft PowerBI, Tableau, Grafana"
6v4hgulsshxw8bs4l6v4hguw8ii08e7m,16/10/2024 12:53:18,23,Feminino,Branca,Não,MA,Nordeste,,,True,,Maranhão (MA),,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),"Desempregado, buscando recolocação",,,,,,,,,,,,,,,
no9g0amqhtshat4ano9g0axar3x838g5,16/10/2024 13:08:10,23,Masculino,Parda,Não,AM,Norte,,,True,,Amazonas (AM),,Estudante de Graduação,Outra opção,Empregado (CLT),Setor Imobiliário/ Construção Civil,de 101 a 500,False,,Analista de Dados/Data Analyst,Júnior,de 3 a 4 anos,Menos de 1 ano,"SQL, Visual Basic/VBA, Python, R",SQL,Python,"SAP HANA, SQL SERVER",Azure (Microsoft),Não sei opinar / Não tenho preferência,Microsoft PowerBI
u2qfhs9bb5klu75px9u2qd9og6b8rw4a,16/10/2024 13:12:26,23,Masculino,Parda,Não,SP,Sudeste,,,True,,São Paulo (SP),,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,de 51 a 100,False,,Engenheiro de Dados/Data Engineer/Data Architect,Pleno,de 1 a 2 anos,Menos de 1 ano,Python,Python,Python,"MongoDB, PostgreSQL","Amazon Web Services (AWS), Google Cloud (GCP)",Amazon Web Services (AWS),Metabase
4arknavqw5mvojeu4arkq7j5le233cwd,16/10/2024 13:16:06,23,Masculino,Branca,Não,PR,Sul,,,True,,Paraná (PR),,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Estagiário,Tecnologia/Fábrica de Software,de 51 a 100,False,,Cientista de Dados/Data Scientist,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",Python,Python,"Elasticsearch, PostgreSQL, Neo4J, S3","Cloud Própria, Azure (Microsoft)",Amazon Web Services (AWS),Microsoft PowerBI
jmsas1s7k35dcmxex74vjmsas1oiteb3,16/10/2024 13:37:42,23,Feminino,Branca,Não,SC,Sul,,,True,,Santa Catarina (SC),,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Área da Saúde,de 11 a 50,False,,Analista de Dados/Data Analyst,Pleno,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",SQL,Python,"MongoDB, Amazon Aurora ou RDS, Google BigQuery, PostgreSQL","Amazon Web Services (AWS), Google Cloud (GCP)",Amazon Web Services (AWS),Metabase
gcorvzvir2oi7gcovc3hm1uqfm11qifc,16/10/2024 13:58:55,23,Prefiro não informar,Amarela,Sim,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Estagiário,Setor Público,Acima de 3.000,False,,Analista de BI/BI Analyst,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Python, R",Python,Python,Microsoft Access,Servidores On Premise/Não utilizamos Cloud,Não sei opinar / Não tenho preferência,Microsoft PowerBI
tszt9z6pb5frxgu3btszhpegn0m0j8bi,16/10/2024 14:32:41,23,Masculino,Parda,Não,SP,Sudeste,,,True,,São Paulo (SP),,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Servidor Público,Setor Público,Acima de 3.000,False,,Outra Opção,Júnior,de 1 a 2 anos,de 1 a 2 anos,Não utilizo linguagem de programação no trabalho,,,Google BigQuery,Servidores On Premise/Não utilizamos Cloud,Amazon Web Services (AWS),Fazemos todas as análises utilizando apenas Excel ou planilhas do google
xpcbxi6n4vcygr07wbxpcbe8s1t692s3,16/10/2024 14:33:55,23,Masculino,Branca,Não,PR,Sul,,,True,,Paraná (PR),,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,Acima de 3.000,False,,Arquiteto de Dados/Data Architect,Sênior,de 3 a 4 anos,de 1 a 2 anos,"SQL, Python, JavaScript",Python,Python,"Google BigQuery, PostgreSQL, Google Firestore, SQL SERVER","Google Cloud (GCP), Amazon Web Services (AWS)",Google Cloud (GCP),"Looker Studio (antigo Google Data Studio), Tableau"
im6yn4atvt9aex5gp8oim6aaqa2wh22g,16/10/2024 14:47:44,23,Masculino,Branca,Não,SC,Sul,AP,Norte,True,,Santa Catarina (SC),Amapá (AP),Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Somente Estudante (pós-graduação),,,,,,,,,,,,,,,
avrkw7l025t1tlzavrk2br6d3w5vvi1j,16/10/2024 15:05:15,23,Masculino,Parda,Não,PE,Nordeste,,,True,,Pernambuco (PE),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,"Desempregado, buscando recolocação",,,,,,,,,,,,,,,
r3dr464sl3luxwt4hv6r3dr4643eivir,16/10/2024 15:09:43,23,Masculino,Branca,Não,MG,Sudeste,,,True,,Minas Gerais (MG),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Indústria,de 501 a 1.000,False,,Analista de BI/BI Analyst,Júnior,de 1 a 2 anos,Menos de 1 ano,Visual Basic/VBA,Visual Basic/VBA,Python,Microsoft Access,Servidores On Premise/Não utilizamos Cloud,Não sei opinar / Não tenho preferência,"Microsoft PowerBI, Fazemos todas as análises utilizando apenas Excel ou planilhas do google"
l7se2a3170zk6y62apgr5jl7s5bx8nac,16/10/2024 15:10:44,23,Masculino,Parda,Não,ES,Sudeste,,,True,,Espírito Santo (ES),,Graduação/Bacharelado,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Finanças ou Bancos,de 101 a 500,False,,Analista de Dados/Data Analyst,Sênior,de 3 a 4 anos,de 1 a 2 anos,"SQL, Python",SQL,Python,"Databricks, S3, PostgreSQL, Amazon Redshift",Amazon Web Services (AWS),Amazon Web Services (AWS),"Tableau, Looker Studio (antigo Google Data Studio), Looker, Microsoft PowerBI, Metabase"
1a51u7b0k3hgdsj9k1a51r6t0eksy3s9,16/10/2024 17:58:03,23,Feminino,Parda,Não,SP,Sudeste,,,True,,São Paulo (SP),,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Seguros ou Previdência,de 101 a 500,False,,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",SQL,Python,"S3, Amazon Athena, Hive",Amazon Web Services (AWS),Não sei opinar / Não tenho preferência,"Looker, Metabase"
7vsvxsxxsi1nn9xjae3e7vs4mwao7bt3,16/10/2024 19:09:15,23,Masculino,Branca,Não,DF,Centro-oeste,BA,Nordeste,True,,Distrito Federal (DF),Bahia (BA),Estudante de Graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Trabalho na área Acadêmica/Pesquisador,,,,,,,,,,,,,,,
4kjn6n1aam8sif4kjn75kfiaegd78svl,16/10/2024 19:31:51,23,Feminino,Branca,Não,SC,Sul,PR,Sul,True,,Santa Catarina (SC),Paraná (PR),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Área de Consultoria,de 1.001 a 3.000,False,,Analista de Dados/Data Analyst,Júnior,Menos de 1 ano,Menos de 1 ano,Python,Não utilizo nenhuma das linguagens listadas no trabalho,Python,Microsoft Access,Servidores On Premise/Não utilizamos Cloud,Não sei opinar / Não tenho preferência,Fazemos todas as análises utilizando apenas Excel ou planilhas do google
as4milh1b56j7iplds45dk3aas4milh1,16/10/2024 19:48:05,23,Masculino,Branca,Não,SP,Sudeste,,,True,,São Paulo (SP),,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,False,,Analista de Dados/Data Analyst,Pleno,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"SQL, Python",SQL,Python,"Oracle, Databricks",Azure (Microsoft),Não sei opinar / Não tenho preferência,Microsoft PowerBI
